PLAYER_NAME,recovered_shots,slump_shots,avg_shot_distance_recovered,avg_shot_distance_slump,avg_loc_x_recovered,avg_loc_x_slump,avg_loc_y_recovered,avg_loc_y_slump,avg_shot_distance_change,most_common_slump_shot_zone,slump_shot_count,most_common_recovery_shot_zone,recovery_shot_count
Darius Garland,46,271,11.826086956521738,15.675276752767529,8.282608695652174,8.546125461254613,91.02173913043478,119.21771217712177,-3.84918979624579,Above the Break 3,104,Restricted Area,15
De'Aaron Fox,44,312,11.590909090909092,13.512820512820513,-8.295454545454545,-15.724358974358974,88.77272727272727,103.99038461538461,-1.921911421911421,In The Paint (Non-RA),101,In The Paint (Non-RA),19
De'Andre Hunter,30,159,15.466666666666667,15.60377358490566,14.133333333333333,1.779874213836478,86.2,102.37735849056604,-0.13710691823899346,Above the Break 3,58,Above the Break 3,9
DeMar DeRozan,55,299,13.418181818181818,14.698996655518394,-1.7818181818181817,-32.22742474916388,107.25454545454545,98.07357859531773,-1.2808148373365764,Mid-Range,140,Mid-Range,23
Deni Avdija,22,148,10.363636363636363,12.70945945945946,-12.909090909090908,8.054054054054054,90.95454545454545,94.22972972972973,-2.3458230958230963,Restricted Area,58,Restricted Area,12
Dennis Schröder,34,226,12.970588235294118,14.70353982300885,8.764705882352942,-2.5486725663716814,96.1470588235294,110.4424778761062,-1.732951587714732,Above the Break 3,74,Restricted Area,12
Derrick Jones Jr.,12,70,8.75,12.1,-38.75,12.314285714285715,56.916666666666664,62.3,-3.3499999999999996,Restricted Area,29,Restricted Area,7
Derrick White,38,232,14.789473684210526,20.870689655172413,-29.68421052631579,10.116379310344827,101.02631578947368,146.31034482758622,-6.081215970961887,Above the Break 3,135,Above the Break 3,12
Desmond Bane,30,174,10.233333333333333,15.448275862068966,24.133333333333333,-11.419540229885058,61.96666666666667,108.04597701149426,-5.214942528735634,Above the Break 3,67,Restricted Area,10
Devin Booker,61,338,12.852459016393443,15.434911242603551,-13.524590163934427,2.2514792899408285,95.11475409836065,112.75443786982248,-2.5824522262101084,Above the Break 3,104,Restricted Area,16
Devin Vassell,29,218,13.206896551724139,16.334862385321102,-5.862068965517241,8.091743119266056,90.41379310344827,106.37155963302752,-3.1279658335969636,Above the Break 3,77,Restricted Area,11
Dillon Brooks,28,245,14.964285714285714,17.975510204081633,-41.17857142857143,-9.653061224489797,82.5,115.3265306122449,-3.0112244897959197,Above the Break 3,103,In The Paint (Non-RA),7
Domantas Sabonis,29,103,5.9655172413793105,8.398058252427184,-4.448275862068965,7.038834951456311,53.275862068965516,73.14563106796116,-2.4325410110478733,Restricted Area,48,Restricted Area,18
Donovan Mitchell,56,326,12.160714285714286,16.34049079754601,-12.946428571428571,-9.561349693251534,100.19642857142857,118.1042944785276,-4.179776511831724,Above the Break 3,130,Above the Break 3,19
Dyson Daniels,26,192,6.884615384615385,10.411458333333334,22.423076923076923,3.546875,47.07692307692308,74.91666666666667,-3.526842948717949,In The Paint (Non-RA),67,Restricted Area,14
Evan Mobley,22,96,3.5454545454545454,9.583333333333334,-2.1818181818181817,10.739583333333334,23.136363636363637,78.04166666666667,-6.037878787878789,Restricted Area,45,Restricted Area,16
Franz Wagner,50,269,8.26,11.71375464684015,13.6,-9.628252788104088,69.56,91.35315985130111,-3.4537546468401494,In The Paint (Non-RA),100,Restricted Area,23
Giannis Antetokounmpo,35,124,3.5142857142857142,7.282258064516129,-1.2857142857142858,-8.620967741935484,32.857142857142854,63.0,-3.7679723502304148,Restricted Area,63,Restricted Area,25
Harrison Barnes,16,96,9.1875,15.125,-10.9375,-6.09375,49.5,68.66666666666667,-5.9375,Restricted Area,28,Restricted Area,8
Ivica Zubac,16,72,3.125,3.5694444444444446,7.0,-6.25,25.0,29.84722222222222,-0.44444444444444464,Restricted Area,41,Restricted Area,11
Ja Morant,40,240,7.525,12.25,-12.025,-1.2625,58.4,96.18333333333334,-4.725,In The Paint (Non-RA),88,Restricted Area,17
Jaden McDaniels,23,134,8.521739130434783,12.440298507462687,11.26086956521739,-7.425373134328358,54.52173913043478,54.223880597014926,-3.918559377027904,Restricted Area,46,Restricted Area,11
Jakob Poeltl,6,34,3.5,6.647058823529412,16.666666666666668,22.352941176470587,35.666666666666664,51.26470588235294,-3.147058823529412,Restricted Area,18,In The Paint (Non-RA),3
Jalen Brunson,49,244,9.326530612244898,12.954918032786885,15.10204081632653,-3.860655737704918,80.87755102040816,95.90983606557377,-3.628387420541987,In The Paint (Non-RA),80,Restricted Area,19
Jalen Duren,4,21,3.0,2.1904761904761907,-12.5,4.142857142857143,4.25,18.857142857142858,0.8095238095238093,Restricted Area,16,In The Paint (Non-RA),2
Jalen Green,64,386,13.015625,15.461139896373057,6.828125,2.1295336787564767,97.984375,121.18652849740933,-2.445514896373057,Above the Break 3,155,Restricted Area,23
